id,state,RECM
01,AL,12.185082156423476
02,AK,37.92111653949093
04,AZ,16.538713225583063
05,AR,9.81816496869482
06,CA,50.31510048041738
08,CO,41.81829861660782
09,CT,4.031753287639624
10,DE,3.9948241735012204
12,FL,6.829072632683437
13,GA,13.926986291494279
15,HI,19.4810883696956
16,ID,83.08037043268476
17,IL,15.464061059313675
18,IN,14.191408430160457
19,IA,75.24846783703717
20,KS,54.09159123675955
21,KY,21,7.671265440410402
22,LA,3.5161060752905295
23,ME,70.4090396545153
24,MD,11.959908306927217
25,MA,20.792008442109445
26,MI,14.595989968701522
27,MN,36.325667255319956
28,MS,2.9228357891498478
29,MO,14.565056703873623
30,MT,58.93019774915252
31,NE,38.51017352331838
32,NV,40.06933704987319
33,NH,14.899465931636554
34,NJ,4.148116943996722
35,NM,47.56568292864402
36,NY,31.233645455582984
37,NC,16.923253313320185
38,ND,46.855484317627564
39,OH,4.42053682890789
40,OK,57.05041331486871
41,OR,74.11422120183279
42,PA,3.8220705136156647
44,RI,13.233793266435574
45,SC,8.681033644025394
46,SD,86.59382323609665
47,TN,17.411633227677672
48,TX,31.55995922123273
49,UT,16.763417989749673
50,VT,99.55887955512243
51,VA,11.552242304873234
53,WA,79.99289710744291
54,WV,6.891697007672488
55,WI,11.513583428607838
56,WY,31.419927177839547
